FECHA,TMAX,TMIN,NOMBRE
2024-01-27,31.8,17,PILAR OBSERVATORIO
2024-01-27,31.4,19.8,POSADAS AERO
2024-01-27,34.2,17.4,PRESIDENCIA ROQUE SAENZ PEﾑA AERO
2024-01-27,24.4,14.6,PUERTO DESEADO AERO
2024-01-27,31.6,20.6,PUERTO MADRYN AERO
2024-01-27,27.5,20,PUNTA INDIO B.A.
2024-01-27,32,15.7,RAFAELA AERO
2024-01-27,30.7,19.6,RECONQUISTA AERO
2024-01-27,32.4,20,RESISTENCIA AERO
2024-01-27,30.5,18.2,RIO CUARTO AERO
2024-01-27,21.7,5.5,RIO GALLEGOS AERO
2024-01-27,17.1,4.2,RIO GRANDE B.A.
2024-01-27,40,19.8,RIVADAVIA
2024-01-27,31.1,16.4,ROSARIO AERO
2024-01-27,29,16.7,SALTA AERO
2024-01-27,37.7,22.6,SAN ANTONIO OESTE AERO
2024-01-27,30.1,18.8,SAN FERNANDO AERO
2024-01-27,39,22.2,SAN JUAN AERO
2024-01-27,28.8,12.4,SAN JULIAN AERO
2024-01-27,38.2,20.5,SAN LUIS AERO
2024-01-27,37.5,23.1,SAN MARTIN (MZA)
2024-01-27,36.2,20,SAN RAFAEL AERO
2024-01-27,24,10.2,SANTA CRUZ AERO
2024-01-27,34.2,18.1,SANTA ROSA AERO
2024-01-27,34.2,,SANTA ROSA DE CONLARA AERO
2024-01-27,37.2,21.2,SANTIAGO DEL ESTERO AERO
2024-01-27,31.1,16,SAUCE VIEJO AERO
2024-01-27,32.2,14.8,SUNCHALES AERO
2024-01-27,31.8,16,TANDIL AERO
2024-01-27,,15.5,TARTAGAL AERO
2024-01-27,37.2,22,TERMAS DE RIO HONDO AERO
2024-01-27,38,22.5,TINOGASTA
2024-01-27,33.1,21.3,TRELEW AERO
2024-01-27,34.4,18.5,TRENQUE LAUQUEN
2024-01-27,34.8,18.5,TRES ARROYOS
2024-01-27,33.9,20.4,TUCUMAN AERO
2024-01-27,14.1,6.5,USHUAIA AERO
2024-01-27,31.4,17.3,USPALLATA
2024-01-27,30,13.2,VENADO TUERTO AERO
2024-01-27,38,20.5,VICTORICA
2024-01-27,,22.7,VIEDMA AERO
2024-01-27,32.9,12.4,VILLA DE MARIA DEL RIO SECO
2024-01-27,36.8,18.2,VILLA DOLORES AERO
2024-01-27,29.8,17.8,VILLA GESELL AERO
2024-01-27,35.4,17.8,VILLA REYNOLDS AERO
2024-01-26,28.5,22,AEROPARQUE AERO
2024-01-26,32.2,17.3,AZUL AERO
2024-01-26,37,22,BAHIA BLANCA AERO
2024-01-26,29.1,14.3,BARILOCHE AERO
2024-01-26,-2.1,-8.1,BASE BELGRANO II
2024-01-26,6.1,2.5,BASE CARLINI (EX JUBANY)
2024-01-26,4.3,-1.9,BASE ESPERANZA
2024-01-26,3.4,-4.2,BASE MARAMBIO
2024-01-26,1.9,-0.2,BASE ORCADAS
2024-01-26,3,0.4,BASE SAN MARTIN
2024-01-26,32.2,16.5,BENITO JUAREZ AERO
2024-01-26,25.3,13.9,BERNARDO DE IRIGOYEN AERO
2024-01-26,33.1,16.5,BOLIVAR AERO
2024-01-26,30.2,21.4,BUENOS AIRES OBSERVATORIO
2024-01-26,30.3,18,CAMPO DE MAYO AERO
2024-01-26,36.5,24.8,CATAMARCA AERO
2024-01-26,31.5,16.1,CERES AERO
2024-01-26,,21.4,CHAMICAL AERO
2024-01-26,30.7,15.5,CHAPELCO AERO
2024-01-26,35.5,22,CHEPES
2024-01-26,41.2,26.9,CIPOLLETTI
2024-01-26,35.9,21.9,COMODORO RIVADAVIA AERO
2024-01-26,31.2,18.2,CONCORDIA AERO
2024-01-26,31,16.6,CORDOBA AERO
2024-01-26,32.3,20.4,CORDOBA OBSERVATORIO
2024-01-26,33.5,17,CORONEL SUAREZ AERO
2024-01-26,31.5,19,CORRIENTES AERO
2024-01-26,,17.8,DOLORES AERO
2024-01-26,33.3,13.4,EL BOLSON AERO
2024-01-26,23.1,3.5,EL CALAFATE AERO
2024-01-26,30,20,EL PALOMAR AERO
2024-01-26,,20,ESCUELA DE AVIACION MILITAR AERO
2024-01-26,28.2,15.4,ESQUEL AERO
2024-01-26,31.5,20.5,EZEIZA AERO
2024-01-26,32.5,19.8,FORMOSA AERO
2024-01-26,33.1,18.6,GENERAL PICO AERO
2024-01-26,28,12,GOBERNADOR GREGORES AERO
2024-01-26,30.7,17.9,GUALEGUAYCHU AERO
2024-01-26,30.2,17.9,IGUAZU AERO
2024-01-26,33.5,18,ITUZAINGO
2024-01-26,37,16.5,JACHAL
2024-01-26,32.9,20,JUJUY AERO
2024-01-26,29.5,17.9,JUJUY U N
2024-01-26,32.6,15.6,JUNIN AERO
2024-01-26,29.4,18.7,LA PLATA AERO
2024-01-26,23,8.6,LA QUIACA OBSERVATORIO
2024-01-26,39.7,22.9,LA RIOJA AERO
2024-01-26,31.8,16.8,LABOULAYE AERO
2024-01-26,32.5,17.6,LAS FLORES
2024-01-26,36.1,20.4,LAS LOMITAS
2024-01-26,36,19,MALARGUE AERO
2024-01-26,35.5,15,MAQUINCHAO
2024-01-26,31.4,17.3,MAR DEL PLATA AERO
2024-01-26,31,15.4,MARCOS JUAREZ AERO
2024-01-26,30.5,20,MARIANO MORENO AERO
2024-01-26,38.3,23.2,MENDOZA AERO
2024-01-26,35.3,21,MENDOZA OBSERVATORIO
2024-01-26,30.4,16.4,MERCEDES AERO (CTES)
2024-01-26,31.4,20,MERLO AERO
2024-01-26,32,18,METAN
2024-01-26,29.8,17,MONTE CASEROS AERO
2024-01-26,30.5,21,MORON AERO
2024-01-26,38.6,20.5,NEUQUEN AERO
